Alloy elements = Zr, Ti, Nb	
Alloy composition = 35,40,25	
Theoretical elastic modulus (GPa) = 1.020740e+02	
----------	
Length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. Stress (MPa)	
14.40000000	0.00861313	361.92770396	0.00168885	172.38757035	
14.50000000	0.00866042	363.91473863	0.00169812	173.33400268	
14.60000000	0.00870770	365.90177330	0.00170739	174.28043501	
14.70000000	0.00875499	367.88880798	0.00171667	175.22686734	
14.80000000	0.00880228	369.87584265	0.00172594	176.17329967	
14.90000000	0.00884957	371.86287732	0.00173521	177.11973199	
15.00000000	0.00889685	373.84991199	0.00174448	178.06616432	
15.10000000	0.00894414	375.83694667	0.00175375	179.01259665	
15.20000000	0.00899143	377.82398134	0.00176303	179.95902898	
15.30000000	0.00903872	379.81101601	0.00177230	180.90546130	
15.40000000	0.00908600	381.79805068	0.00178157	181.85189363	
15.50000000	0.00913329	383.78508535	0.00179084	182.79832596	
15.60000000	0.00918058	385.77212003	0.00180011	183.74475829	
15.70000000	0.00922787	387.75915470	0.00180939	184.69119062	
15.80000000	0.00927515	389.74618937	0.00181866	185.63762294	
15.90000000	0.00932244	391.73322404	0.00182793	186.58405527	
16.00000000	0.00936973	393.72025871	0.00183720	187.53048760	
16.10000000	0.00941701	395.70729339	0.00184647	188.47691993	
16.20000000	0.00946430	397.69432806	0.00185575	189.42335225	
16.30000000	0.00951159	399.68136273	0.00186502	190.36978458	
16.40000000	0.00955888	401.66839740	0.00187429	191.31621691	
16.50000000	0.00960616	403.65543208	0.00188356	192.26264924	
16.60000000	0.00965345	405.64246675	0.00189283	193.20908157	
16.70000000	0.00970074	407.62950142	0.00190211	194.15551389	
16.80000000	0.00974803	409.61653609	0.00191138	195.10194622	
16.90000000	0.00979531	411.60357076	0.00192065	196.04837855	
17.00000000	0.00984260	413.59060544	0.00192992	196.99481088	
17.10000000	0.00988989	415.57764011	0.00193919	197.94124320	
17.20000000	0.00993718	417.56467478	0.00194847	198.88767553	
17.30000000	0.00998446	419.55170945	0.00195774	199.83410786	
17.40000000	0.01003175	421.53874412	0.00196701	200.78054019	
17.50000000	0.01007904	423.52577880	0.00197628	201.72697252	
17.60000000	0.01012632	425.51281347	0.00198555	202.67340484	
17.70000000	0.01017361	427.49984814	0.00199483	203.61983717	
17.80000000	0.01022090	429.48688281	0.00200410	204.56626950	
17.90000000	0.01026819	431.47391748	0.00201337	205.51270183	
18.00000000	0.01031547	433.46095216	0.00202264	206.45913415	
18.10000000	0.01036276	435.44798683	0.00203191	207.40556648	
18.20000000	0.01041005	437.43502150	0.00204119	208.35199881	
18.30000000	0.01045734	439.42205617	0.00205046	209.29843114	
18.40000000	0.01050462	441.40909085	0.00205973	210.24486347	
18.50000000	0.01055191	443.39612552	0.00206900	211.19129579	
18.60000000	0.01059920	445.38316019	0.00207827	212.13772812	
18.70000000	0.01064648	447.37019486	0.00208755	213.08416045	
18.80000000	0.01069377	449.35722953	0.00209682	214.03059278	
18.90000000	0.01074106	451.34426421	0.00210609	214.97702510	
19.00000000	0.01078835	453.33129888	0.00211536	215.92345743	
19.10000000	0.01083563	455.31833355	0.00212463	216.86988976	
19.20000000	0.01088292	457.30536822	0.00213391	217.81632209	
19.30000000	0.01093021	459.29240289	0.00214318	218.76275442	
19.40000000	0.01097750	461.27943757	0.00215245	219.70918674	
19.50000000	0.01102478	463.26647224	0.00216172	220.65561907	
19.60000000	0.01107207	465.25350691	0.00217099	221.60205140	
19.70000000	0.01111936	467.24054158	0.00218027	222.54848373	
19.80000000	0.01116665	469.22757626	0.00218954	223.49491605	
19.90000000	0.01121393	471.21461093	0.00219881	224.44134838	
20.00000000	0.01126122	473.20164560	0.00220808	225.38778071	
20.10000000	0.01130851	475.18868027	0.00221735	226.33421304	
20.20000000	0.01135579	477.17571494	0.00222663	227.28064537	
20.30000000	0.01140308	479.16274962	0.00223590	228.22707769	
20.40000000	0.01145037	481.14978429	0.00224517	229.17351002	
20.50000000	0.01149766	483.13681896	0.00225444	230.11994235	
20.60000000	0.01154494	485.12385363	0.00226371	231.06637468	
20.70000000	0.01159223	487.11088830	0.00227299	232.01280700	
20.80000000	0.01163952	489.09792298	0.00228226	232.95923933	
20.90000000	0.01168681	491.08495765	0.00229153	233.90567166	
21.00000000	0.01173409	493.07199232	0.00230080	234.85210399	
21.10000000	0.01178138	495.05902699	0.00231007	235.79853631	
21.20000000	0.01182867	497.04606167	0.00231935	236.74496864	
21.30000000	0.01187595	499.03309634	0.00232862	237.69140097	
21.40000000	0.01192324	501.02013101	0.00233789	238.63783330	
21.50000000	0.01197053	503.00716568	0.00234716	239.58426563	
21.60000000	0.01201782	504.99420035	0.00235643	240.53069795	
21.70000000	0.01206510	506.98123503	0.00236571	241.47713028	
21.80000000	0.01211239	508.96826970	0.00237498	242.42356261	
21.90000000	0.01215968	510.95530437	0.00238425	243.36999494	
22.00000000	0.01220697	512.94233904	0.00239352	244.31642726	
22.10000000	0.01225425	514.92937371	0.00240279	245.26285959	
22.20000000	0.01230154	516.91640839	0.00241207	246.20929192	
22.30000000	0.01234883	518.90344306	0.00242134	247.15572425	
22.40000000	0.01239612	520.89047773	0.00243061	248.10215658	
22.50000000	0.01244340	522.87751240	0.00243988	249.04858890	
22.60000000	0.01249069	524.86454708	0.00244915	249.99502123	
22.70000000	0.01253798	526.85158175	0.00245843	250.94145356	
22.80000000	0.01258526	528.83861642	0.00246770	251.88788589	
