Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
17.70000000	0.06954354	436.87215800	0.01363599	208.08390474	
17.80000000	0.06993644	439.20895200	0.01371303	209.19692879	
17.90000000	0.07032934	441.31896900	0.01379007	210.20193808	
18.00000000	0.07072224	443.36982600	0.01386711	211.17876923	
18.10000000	0.07111514	445.46012300	0.01394415	212.17438581	
18.20000000	0.07150804	447.58986000	0.01402118	213.18878781	
18.30000000	0.07190094	449.55197800	0.01409822	214.12335223	
18.40000000	0.07229384	451.39577800	0.01417526	215.00156132	
18.50000000	0.07268675	453.46635500	0.01425230	215.98778519	
18.60000000	0.07307965	455.31015500	0.01432934	216.86599428	
18.70000000	0.07347255	457.77512700	0.01440638	218.04007002	
18.80000000	0.07386545	460.17108100	0.01448342	219.18127221	
18.90000000	0.07425835	462.17263900	0.01456046	220.13462205	
19.00000000	0.07465125	464.43055400	0.01463750	221.21007573	
19.10000000	0.07504415	466.17575500	0.01471454	222.04132174	
19.20000000	0.07543706	468.18717300	0.01479158	222.99936794	
19.30000000	0.07582996	470.23803000	0.01486862	223.97619910	
19.40000000	0.07622286	472.35790600	0.01494566	224.98590426	
19.50000000	0.07661576	474.76372000	0.01502270	226.13180281	
19.60000000	0.07700866	476.75541800	0.01509974	227.08045630	
19.70000000	0.07740156	478.93445400	0.01517678	228.11833960	
19.80000000	0.07779446	481.01489100	0.01525382	229.10925982	
19.90000000	0.07818736	482.93756900	0.01533086	230.02503882	
20.00000000	0.07858027	485.09688600	0.01540790	231.05352989	
20.10000000	0.07897317	487.51255900	0.01548493	232.20412432	
20.20000000	0.07936607	489.44509700	0.01556197	233.12459967	
20.30000000	0.07975897	491.35791600	0.01563901	234.03568278	
20.40000000	0.08015187	493.55667200	0.01571605	235.08295880	
20.50000000	0.08054477	495.41033100	0.01579309	235.96586378	
20.60000000	0.08093767	497.54006800	0.01587013	236.98026578	
20.70000000	0.08133058	499.77826300	0.01594717	238.04632674	
20.80000000	0.08172348	501.85870000	0.01602421	239.03724696	
20.90000000	0.08211638	503.78137900	0.01610125	239.95302643	
21.00000000	0.08250928	505.91111500	0.01617829	240.96742796	
21.10000000	0.08290218	508.10001100	0.01625533	242.01000762	
21.20000000	0.08329508	510.11142800	0.01633237	242.96805335	
21.30000000	0.08368798	512.22144500	0.01640941	243.97306263	
21.40000000	0.08408088	514.14412400	0.01648645	244.88884211	
21.50000000	0.08447379	516.17526100	0.01656349	245.85628054	
21.60000000	0.08486669	518.21625800	0.01664053	246.82841534	
21.70000000	0.08525959	520.35585500	0.01671757	247.84751369	
21.80000000	0.08565249	522.62363000	0.01679461	248.92766373	
21.90000000	0.08604539	524.70406600	0.01687165	249.91858347	
22.00000000	0.08643829	526.50842600	0.01694868	250.77800714	
22.10000000	0.08683119	528.34236600	0.01702572	251.65151989	
22.20000000	0.08722410	530.47210200	0.01710276	252.66592141	
22.30000000	0.08761700	532.53281900	0.01717980	253.64744892	
22.40000000	0.08800990	534.77101500	0.01725684	254.71351036	
22.50000000	0.08840280	536.96977000	0.01733388	255.76078590	
22.60000000	0.08879570	538.94174800	0.01741092	256.70004668	
22.70000000	0.08918860	540.63764900	0.01748796	257.50781091	
22.80000000	0.08958150	542.72794600	0.01756500	258.50342748	
22.90000000	0.08997440	544.69006400	0.01764204	259.43799190	
23.00000000	0.09036731	546.57330300	0.01771908	260.33498595	
23.10000000	0.09076021	549.00869600	0.01779612	261.49497309	
23.20000000	0.09115311	551.08913300	0.01787316	262.48589331	
23.30000000	0.09154601	553.11041000	0.01795020	263.44863539	
23.40000000	0.09193891	555.21056700	0.01802724	264.44894832	
23.50000000	0.09233181	556.88674800	0.01810428	265.24731984	
23.60000000	0.09272471	558.76012700	0.01818132	266.13961753	
23.70000000	0.09311762	560.60392700	0.01825836	267.01782663	
23.80000000	0.09351052	562.66464400	0.01833540	267.99935413	
23.90000000	0.09390342	564.72536100	0.01841243	268.98088164	
24.00000000	0.09429632	566.82551800	0.01848947	269.98119457	
24.10000000	0.09468922	568.77777600	0.01856651	270.91106263	
24.20000000	0.09508212	570.73989400	0.01864355	271.84562705	
24.30000000	0.09547502	572.83019100	0.01872059	272.84124363	
24.40000000	0.09586792	574.79230900	0.01879763	273.77580805	
24.50000000	0.09626083	577.06994300	0.01887467	274.86065397	
24.60000000	0.09665373	579.08136100	0.01895171	275.81870017	
24.70000000	0.09704663	581.38857500	0.01902875	276.91763515	
24.80000000	0.09743953	583.62677000	0.01910579	277.98369612	
24.90000000	0.09783243	585.51000900	0.01918283	278.88069016	
25.00000000	0.09822533	587.40310800	0.01925987	279.78238057	
25.10000000	0.09861823	589.32578600	0.01933691	280.69815956	
25.20000000	0.09901114	591.18930500	0.01941395	281.58576090	
25.30000000	0.09940404	593.42750000	0.01949099	282.65182186	
25.40000000	0.09979694	595.62625600	0.01956803	283.69909788	
25.50000000	0.10018984	597.56865400	0.01964507	284.62426959	
25.60000000	0.10058274	599.77726900	0.01972211	285.67624149	
25.70000000	0.10097564	601.69994800	0.01979915	286.59202096	
25.80000000	0.10136854	603.62262600	0.01987618	287.50779995	
25.90000000	0.10176144	605.97914000	0.01995322	288.63021672	
26.00000000	0.10215435	607.74406000	0.02003026	289.47085497	
26.10000000	0.10254725	609.94281600	0.02010730	290.51813098	
26.20000000	0.10294015	612.02325200	0.02018434	291.50905073	
26.30000000	0.10333305	613.60083500	0.02026138	292.26045963	
26.40000000	0.10372595	615.61225200	0.02033842	293.21850536	
26.50000000	0.10411885	617.55465000	0.02041546	294.14367707	
26.60000000	0.10451175	619.51676800	0.02049250	295.07824149	
26.70000000	0.10490466	621.65636400	0.02056954	296.09733937	
26.80000000	0.10529756	623.70722100	0.02064658	297.07417052	
26.90000000	0.10569046	625.80737800	0.02072362	298.07448345	
27.00000000	0.10608336	627.77935600	0.02080066	299.01374422	
27.10000000	0.10647626	629.84993200	0.02087770	299.99996761	
27.20000000	0.10686916	631.66415200	0.02095474	300.86408764	
27.30000000	0.10726206	633.64599000	0.02103178	301.80804477	
27.40000000	0.10765496	635.62782700	0.02110882	302.75200143	
27.50000000	0.10804787	637.69840400	0.02118586	303.73822529	
27.60000000	0.10844077	639.95631900	0.02126290	304.81367897	
27.70000000	0.10883367	641.81983800	0.02133993	305.70128030	
27.80000000	0.10922657	643.86083500	0.02141697	306.67341510	
27.90000000	0.10961947	645.77365300	0.02149401	307.58449774	
28.00000000	0.11001237	647.75549100	0.02157105	308.52845487	
28.10000000	0.11040527	649.52041100	0.02164809	309.36909312	
28.20000000	0.11079818	651.76846600	0.02172513	310.43985044	
28.30000000	0.11119108	653.73058400	0.02180217	311.37441486	
28.40000000	0.11158398	655.49550400	0.02187921	312.21505311	
28.50000000	0.11197688	657.95061600	0.02195625	313.38443248	
28.60000000	0.11236978	659.80427500	0.02203329	314.26733746	
28.70000000	0.11276268	661.62835500	0.02211033	315.13615385	
28.80000000	0.11315558	663.65949200	0.02218737	316.10359228	
28.90000000	0.11354848	665.39483300	0.02226441	316.93014194	
29.00000000	0.11394139	667.50484900	0.02234145	317.93515075	
29.10000000	0.11433429	669.57542500	0.02241849	318.92137414	
29.20000000	0.11472719	671.70516100	0.02249553	319.93577566	
29.30000000	0.11512009	673.77573800	0.02257257	320.92199952	
29.40000000	0.11551299	675.69841600	0.02264961	321.83777852	
29.50000000	0.11590589	677.59151500	0.02272665	322.73946892	
29.60000000	0.11629879	679.46489400	0.02280369	323.63176661	
29.70000000	0.11669170	681.33827300	0.02288072	324.52406430	
29.80000000	0.11708460	683.23137100	0.02295776	325.42575423	
29.90000000	0.11747750	685.25264900	0.02303480	326.38849678	
30.00000000	0.11787040	687.22462600	0.02311184	327.32775709	
30.10000000	0.11826330	689.18674400	0.02318888	328.26232151	
30.20000000	0.11865620	691.07984300	0.02326592	329.16401191	
30.30000000	0.11904910	693.02224100	0.02334296	330.08918362	
30.40000000	0.11944200	694.95477900	0.02342000	331.00965897	
30.50000000	0.11983491	696.53236100	0.02349704	331.76106740	
30.60000000	0.12022781	698.34658100	0.02357408	332.62518743	
30.70000000	0.12062071	700.31855800	0.02365112	333.56444773	
30.80000000	0.12101361	702.15249800	0.02372816	334.43796047	
30.90000000	0.12140651	704.24279400	0.02380520	335.43357657	
31.00000000	0.12179941	706.28379100	0.02388224	336.40571136	
31.10000000	0.12219231	708.09801000	0.02395928	337.26983091	
31.20000000	0.12258521	710.03054800	0.02403632	338.19030626	
