Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
11.80000000	0.05954299	393.89289000	0.01167510	187.61271255	
11.90000000	0.06004759	396.46632200	0.01177404	188.83844820	
12.00000000	0.06055219	398.55661900	0.01187298	189.83406478	
12.10000000	0.06105679	400.85397400	0.01197192	190.92830388	
12.20000000	0.06156140	402.87525200	0.01207086	191.89104644	
12.30000000	0.06206600	404.83737000	0.01216980	192.82561086	
12.40000000	0.06257060	407.18402500	0.01226875	193.94333175	
12.50000000	0.06307520	409.45180000	0.01236769	195.02348178	
12.60000000	0.06357980	411.89705300	0.01246663	196.18816528	
12.70000000	0.06408440	413.83945100	0.01256557	197.11333698	
12.80000000	0.06458901	415.97904800	0.01266451	198.13243534	
12.90000000	0.06509361	417.67494900	0.01276345	198.94019957	
13.00000000	0.06559821	419.68636700	0.01286239	199.89824577	
13.10000000	0.06610281	421.87526300	0.01296134	200.94082543	
13.20000000	0.06660741	424.06415900	0.01306028	201.98340510	
13.30000000	0.06711201	426.43053300	0.01315922	203.11051822	
13.40000000	0.06761662	428.32363200	0.01325816	204.01220862	
13.50000000	0.06812122	430.31533000	0.01335710	204.96086211	
13.60000000	0.06862582	432.21828900	0.01345604	205.86724887	
13.70000000	0.06913042	434.46634400	0.01355498	206.93800619	
13.80000000	0.06963502	436.87215800	0.01365393	208.08390474	
13.90000000	0.07013962	439.20895200	0.01375287	209.19692879	
14.00000000	0.07064423	441.31896900	0.01385181	210.20193808	
14.10000000	0.07114883	443.36982600	0.01395075	211.17876923	
14.20000000	0.07165343	445.46012300	0.01404969	212.17438581	
14.30000000	0.07215803	447.58986000	0.01414863	213.18878781	
14.40000000	0.07266263	449.55197800	0.01424757	214.12335223	
14.50000000	0.07316723	451.39577800	0.01434652	215.00156132	
14.60000000	0.07367184	453.46635500	0.01444546	215.98778519	
14.70000000	0.07417644	455.31015500	0.01454440	216.86599428	
14.80000000	0.07468104	457.77512700	0.01464334	218.04007002	
14.90000000	0.07518564	460.17108100	0.01474228	219.18127221	
15.00000000	0.07569024	462.17263900	0.01484122	220.13462205	
15.10000000	0.07619484	464.43055400	0.01494017	221.21007573	
15.20000000	0.07669944	466.17575500	0.01503911	222.04132174	
15.30000000	0.07720405	468.18717300	0.01513805	222.99936794	
15.40000000	0.07770865	470.23803000	0.01523699	223.97619910	
15.50000000	0.07821325	472.35790600	0.01533593	224.98590426	
15.60000000	0.07871785	474.76372000	0.01543487	226.13180281	
15.70000000	0.07922245	476.75541800	0.01553381	227.08045630	
15.80000000	0.07972705	478.93445400	0.01563276	228.11833960	
15.90000000	0.08023166	481.01489100	0.01573170	229.10925982	
16.00000000	0.08073626	482.93756900	0.01583064	230.02503882	
16.10000000	0.08124086	485.09688600	0.01592958	231.05352989	
16.20000000	0.08174546	487.51255900	0.01602852	232.20412432	
16.30000000	0.08225006	489.44509700	0.01612746	233.12459967	
16.40000000	0.08275466	491.35791600	0.01622640	234.03568278	
16.50000000	0.08325927	493.55667200	0.01632535	235.08295880	
16.60000000	0.08376387	495.41033100	0.01642429	235.96586378	
16.70000000	0.08426847	497.54006800	0.01652323	236.98026578	
16.80000000	0.08477307	499.77826300	0.01662217	238.04632674	
16.90000000	0.08527767	501.85870000	0.01672111	239.03724696	
17.00000000	0.08578227	503.78137900	0.01682005	239.95302643	
17.10000000	0.08628688	505.91111500	0.01691900	240.96742796	
17.20000000	0.08679148	508.10001100	0.01701794	242.01000762	
17.30000000	0.08729608	510.11142800	0.01711688	242.96805335	
17.40000000	0.08780068	512.22144500	0.01721582	243.97306263	
17.50000000	0.08830528	514.14412400	0.01731476	244.88884211	
17.60000000	0.08880988	516.17526100	0.01741370	245.85628054	
17.70000000	0.08931449	518.21625800	0.01751264	246.82841534	
17.80000000	0.08981909	520.35585500	0.01761159	247.84751369	
17.90000000	0.09032369	522.62363000	0.01771053	248.92766373	
18.00000000	0.09082829	524.70406600	0.01780947	249.91858347	
18.10000000	0.09133289	526.50842600	0.01790841	250.77800714	
18.20000000	0.09183749	528.34236600	0.01800735	251.65151989	
18.30000000	0.09234209	530.47210200	0.01810629	252.66592141	
18.40000000	0.09284670	532.53281900	0.01820523	253.64744892	
18.50000000	0.09335130	534.77101500	0.01830418	254.71351036	
18.60000000	0.09385590	536.96977000	0.01840312	255.76078590	
18.70000000	0.09436050	538.94174800	0.01850206	256.70004668	
18.80000000	0.09486510	540.63764900	0.01860100	257.50781091	
