Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
17.10000000	0.08503447	424.06415900	0.01667342	201.98340510	
17.20000000	0.08529748	426.43053300	0.01672500	203.11051822	
17.30000000	0.08556050	428.32363200	0.01677657	204.01220862	
17.40000000	0.08582351	430.31533000	0.01682814	204.96086211	
17.50000000	0.08608653	432.21828900	0.01687971	205.86724887	
17.60000000	0.08634954	434.46634400	0.01693128	206.93800619	
17.70000000	0.08661256	436.87215800	0.01698285	208.08390474	
17.80000000	0.08687558	439.20895200	0.01703443	209.19692879	
17.90000000	0.08713859	441.31896900	0.01708600	210.20193808	
18.00000000	0.08740161	443.36982600	0.01713757	211.17876923	
18.10000000	0.08766462	445.46012300	0.01718914	212.17438581	
18.20000000	0.08792764	447.58986000	0.01724071	213.18878781	
18.30000000	0.08819065	449.55197800	0.01729229	214.12335223	
18.40000000	0.08845367	451.39577800	0.01734386	215.00156132	
18.50000000	0.08871669	453.46635500	0.01739543	215.98778519	
18.60000000	0.08897970	455.31015500	0.01744700	216.86599428	
18.70000000	0.08924272	457.77512700	0.01749857	218.04007002	
18.80000000	0.08950573	460.17108100	0.01755014	219.18127221	
18.90000000	0.08976875	462.17263900	0.01760172	220.13462205	
19.00000000	0.09003176	464.43055400	0.01765329	221.21007573	
19.10000000	0.09029478	466.17575500	0.01770486	222.04132174	
19.20000000	0.09055780	468.18717300	0.01775643	222.99936794	
19.30000000	0.09082081	470.23803000	0.01780800	223.97619910	
19.40000000	0.09108383	472.35790600	0.01785957	224.98590426	
19.50000000	0.09134684	474.76372000	0.01791115	226.13180281	
19.60000000	0.09160986	476.75541800	0.01796272	227.08045630	
19.70000000	0.09187287	478.93445400	0.01801429	228.11833960	
19.80000000	0.09213589	481.01489100	0.01806586	229.10925982	
19.90000000	0.09239890	482.93756900	0.01811743	230.02503882	
20.00000000	0.09266192	485.09688600	0.01816900	231.05352989	
20.10000000	0.09292494	487.51255900	0.01822058	232.20412432	
20.20000000	0.09318795	489.44509700	0.01827215	233.12459967	
20.30000000	0.09345097	491.35791600	0.01832372	234.03568278	
20.40000000	0.09371398	493.55667200	0.01837529	235.08295880	
20.50000000	0.09397700	495.41033100	0.01842686	235.96586378	
20.60000000	0.09424001	497.54006800	0.01847843	236.98026578	
20.70000000	0.09450303	499.77826300	0.01853001	238.04632674	
20.80000000	0.09476605	501.85870000	0.01858158	239.03724696	
20.90000000	0.09502906	503.78137900	0.01863315	239.95302643	
21.00000000	0.09529208	505.91111500	0.01868472	240.96742796	
21.10000000	0.09555509	508.10001100	0.01873629	242.01000762	
21.20000000	0.09581811	510.11142800	0.01878786	242.96805335	
21.30000000	0.09608112	512.22144500	0.01883944	243.97306263	
21.40000000	0.09634414	514.14412400	0.01889101	244.88884211	
21.50000000	0.09660716	516.17526100	0.01894258	245.85628054	
21.60000000	0.09687017	518.21625800	0.01899415	246.82841534	
21.70000000	0.09713319	520.35585500	0.01904572	247.84751369	
21.80000000	0.09739620	522.62363000	0.01909729	248.92766373	
21.90000000	0.09765922	524.70406600	0.01914887	249.91858347	
22.00000000	0.09792223	526.50842600	0.01920044	250.77800714	
22.10000000	0.09818525	528.34236600	0.01925201	251.65151989	
22.20000000	0.09844827	530.47210200	0.01930358	252.66592141	
22.30000000	0.09871128	532.53281900	0.01935515	253.64744892	
22.40000000	0.09897430	534.77101500	0.01940673	254.71351036	
22.50000000	0.09923731	536.96977000	0.01945830	255.76078590	
22.60000000	0.09950033	538.94174800	0.01950987	256.70004668	
22.70000000	0.09976334	540.63764900	0.01956144	257.50781091	
22.80000000	0.10002636	542.72794600	0.01961301	258.50342748	
22.90000000	0.10028938	544.69006400	0.01966458	259.43799190	
23.00000000	0.10055239	546.57330300	0.01971616	260.33498595	
23.10000000	0.10081541	549.00869600	0.01976773	261.49497309	
23.20000000	0.10107842	551.08913300	0.01981930	262.48589331	
23.30000000	0.10134144	553.11041000	0.01987087	263.44863539	
23.40000000	0.10160445	555.21056700	0.01992244	264.44894832	
23.50000000	0.10186747	556.88674800	0.01997401	265.24731984	
23.60000000	0.10213049	558.76012700	0.02002559	266.13961753	
23.70000000	0.10239350	560.60392700	0.02007716	267.01782663	
23.80000000	0.10265652	562.66464400	0.02012873	267.99935413	
23.90000000	0.10291953	564.72536100	0.02018030	268.98088164	
24.00000000	0.10318255	566.82551800	0.02023187	269.98119457	
24.10000000	0.10344556	568.77777600	0.02028344	270.91106263	
24.20000000	0.10370858	570.73989400	0.02033502	271.84562705	
24.30000000	0.10397160	572.83019100	0.02038659	272.84124363	
24.40000000	0.10423461	574.79230900	0.02043816	273.77580805	
24.50000000	0.10449763	577.06994300	0.02048973	274.86065397	
24.60000000	0.10476064	579.08136100	0.02054130	275.81870017	
24.70000000	0.10502366	581.38857500	0.02059287	276.91763515	
24.80000000	0.10528667	583.62677000	0.02064445	277.98369612	
24.90000000	0.10554969	585.51000900	0.02069602	278.88069016	
25.00000000	0.10581271	587.40310800	0.02074759	279.78238057	
25.10000000	0.10607572	589.32578600	0.02079916	280.69815956	
25.20000000	0.10633874	591.18930500	0.02085073	281.58576090	
